GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS595370206	2021-12-23 16:39:37.742889	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				2	C 	C3	C 		Honduras	HN	Cortés	HN-CR							PN Cerro Azul Meámbar--PANACAM Lodge	L887019	H	14.8723770	-87.9055703	2018-03-27	12:30:00	obsr789606	S44231441	Traveling	P22	EBIRD	150	0.100		3	1	G3045856	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS599741444	2021-12-23 16:39:37.742889	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				2					Honduras	HN	Cortés	HN-CR							PN Cerro Azul Meámbar--PANACAM Lodge	L887019	H	14.8723770	-87.9055703	2018-04-14	06:44:00	obsr918292	S44557466	Traveling	P22	EBIRD	83	0.300		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS606011916	2021-12-23 16:47:27.51105	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				1					Honduras	HN	Cortés	HN-CR							PN Cerro Azul Meámbar--Sendero El Venado (PANACAM Lodge)	L3704554	H	14.8718274	-87.9031992	2018-04-24	05:41:00	obsr555085	S44980291	Stationary	P21	EBIRD	62			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS606081842	2022-01-22 12:24:14.371353	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				1					Honduras	HN	Cortés	HN-CR							PN Cerro Azul Meámbar--Sendero Sinaí (PANACAM Lodge)	L3705629	H	14.8661553	-87.8957105	2018-04-25	09:42:00	obsr546404	S44985198	Traveling	P22	EBIRD	188	5.000		2	1		0	1	0		Recorrido para hacer mejoras en sendero Sinai		
URN:CornellLabOfOrnithology:EBIRD:OBS603268182	2021-12-23 16:39:37.742889	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				1					Honduras	HN	Cortés	HN-CR							PN Cerro Azul Meámbar--PANACAM Lodge	L887019	H	14.8723770	-87.9055703	2018-04-21	11:30:00	obsr719821	S44800246	Traveling	P22	EBIRD_CAMERICA	30	1.000		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS599071524	2021-12-23 16:39:37.742889	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				2					Honduras	HN	Cortés	HN-CR							PN Cerro Azul Meámbar--PANACAM Lodge	L887019	H	14.8723770	-87.9055703	2018-04-12	05:51:00	obsr555085	S44508519	Traveling	P22	EBIRD	66	1.290		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS599959404	2021-12-23 16:39:37.742889	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				2					Honduras	HN	Cortés	HN-CR							PN Cerro Azul Meámbar--PANACAM Lodge	L887019	H	14.8723770	-87.9055703	2018-04-14	14:10:00	obsr546404	S44571799	Traveling	P22	EBIRD	46	0.800		1	1		0	1	0		Honduras Big Day		
URN:CornellLabOfOrnithology:EBIRD:OBS632087717	2021-12-23 16:47:27.51105	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				1					Honduras	HN	Cortés	HN-CR							PN Cerro Azul Meámbar--Sendero El Venado (PANACAM Lodge)	L3704554	H	14.8718274	-87.9031992	2018-05-05	11:29:00	obsr789606	S46623811	Traveling	P22	EBIRD	157	1.610		6	1	G3163285	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS615661513	2021-12-23 16:39:37.742889	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				2					Honduras	HN	Cortés	HN-CR							PN Cerro Azul Meámbar--PANACAM Lodge	L887019	H	14.8723770	-87.9055703	2018-05-11	07:10:00	obsr14774	S45551760	Traveling	P22	EBIRD	80	0.500		3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS615588576	2021-12-23 16:39:37.742889	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				2					Honduras	HN	Cortés	HN-CR							PN Cerro Azul Meámbar--PANACAM Lodge	L887019	H	14.8723770	-87.9055703	2018-05-11	07:05:00	obsr555085	S45547790	Traveling	P22	EBIRD	16	0.640		1	1		0	1	0				
